Alignment Ratings Heatmap,,,,,,,,,,All verifications,,,,,,,,,,,All verifications,,,,,
Client,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,,Client,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,Alignment Score,,Client,Covered Assets AUM,Total AUM,Start Year,Investor Type,Target geography(s)
Windsor 2021,ADVANCED,HIGH,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,,Windsor 2021,4,3,2,3,2,2,2,2,20,,Windsor 2021,2766728302,2.64E+12,2014,Asset allocator (Wealth manager),Both
Wye Technologies 2021,ADVANCED,ADVANCED,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,,Wye Technologies 2021,4,4,2,2,3,2,2,2,21,,Wye Technologies 2021,39873867,39873867,2012,Asset Manager (For-profit impact-only),Emerging markets
(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),,(blank),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,(blank),(blank),(blank),(blank),(blank),(blank)
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics Across First 31 Verifications,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,,,,,,,,,,,,,,,,,,
ADVANCED,0.666666667,0.4,0.266666667,0.266666667,0.366666667,0.266666667,0.103448276,0.133333333,,,,,,,,,,,,,,,,,,
HIGH,0.233333333,0.5,0.3,0.4,0.2,0.266666667,0.068965517,0.2,,,,,,,,,,,,,,,,,,
MODERATE,0.1,0.066666667,0.4,0.266666667,0.333333333,0.366666667,0.413793103,0.6,,,,,,,,,,,,,,,,,,
LOW,0,0.033333333,0.033333333,0.066666667,0.1,0.1,0.413793103,0.066666667,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,,,,,,,,,,,,,,,,,,
ADVANCED,20,12,8,8,11,8,3,4,,,,,,,,,,,,,,,,,,
HIGH,7,15,9,12,6,8,2,6,,,,,,,,,,,,,,,,,,
MODERATE,3,2,12,8,10,11,12,18,,,,,,,,,,,,,,,,,,
LOW,0,1,1,2,3,3,12,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,,,,,,,,,,,,,,,,,,
Average Rating Across First 31 Verifications,ADVANCED,HIGH,HIGH,HIGH,HIGH,HIGH,MODERATE,MODERATE,,,,,,,,,,,,,,,,,,
Check,3.566666667,3.266666667,2.8,2.866666667,2.833333333,2.7,1.862068966,2.4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Median Rating Across First 31 Verifications,ADVANCED,HIGH,HIGH,HIGH,HIGH,HIGH,MODERATE,MODERATE,,,,,,,,,,,,,,,,,,
Check,4,3,3,3,3,3,2,2,,,,,,,,,,,,,,,,,,
